task_key,task,model,family,lp_avg,ft_avg,delta_ft_minus_lp,lp_run_range,ft_run_range,lp_run_std,ft_run_std,imagenet_top1,imagenet_top5,param_count_m,img_size
vpt1_v18,VPT1 v18,beit3_base_patch16_224.in22k_ft_in1k,beit3,56.641,61.601,4.960000000000001,1.0150000000000006,2.1090000000000018,0.4288638737667491,0.8680631057449434,85.39,97.64,86.66,224
vpt1_v18,VPT1 v18,beit3_large_patch16_224.in22k_ft_in1k,beit3,57.161,61.276,4.115000000000002,0.5079999999999956,4.062999999999995,0.20760432451072586,1.6847173848057306,87.628,98.334,304.57,224
vpt1_v18,VPT1 v18,beit3_large_patch16_224.indomain_in22k_ft_in1k,beit3,55.599,62.266,6.667000000000002,0.7820000000000036,7.187000000000005,0.351500592697463,3.0206981900804935,87.534,98.364,304.57,224
vpt1_v18,VPT1 v18,beit_base_patch16_224.in22k_ft_in22k_in1k,beit,57.943,59.987,2.044000000000004,2.070999999999998,2.655999999999999,0.9115051045142618,1.0942370249021305,85.238,97.654,86.53,224
vpt1_v18,VPT1 v18,beit_base_patch16_384.in22k_ft_in22k_in1k,beit,57.682,63.008,5.3260000000000005,0.5859999999999985,4.296999999999997,0.2394011046108363,1.775823251965752,86.814,98.136,86.74,384
vpt1_v18,VPT1 v18,beit_large_patch16_224.in22k_ft_in22k_in1k,beit,57.526,61.641,4.114999999999995,2.2659999999999982,3.6329999999999956,0.9339992862238522,1.4854979711269272,87.486,98.318,304.43,224
vpt1_v18,VPT1 v18,beit_large_patch16_384.in22k_ft_in22k_in1k,beit,57.982,65.899,7.917000000000002,0.5079999999999956,4.999999999999993,0.21707346426702714,2.0679678162120596,88.38,98.604,305.0,384
vpt1_v18,VPT1 v18,beit_large_patch16_512.in22k_ft_in22k_in1k,beit,59.323,59.388,0.06499999999999773,1.5229999999999961,8.36,0.7002886706367746,3.41538118907197,88.576,98.656,305.67,512
vpt1_v18,VPT1 v18,beitv2_base_patch16_224.in1k_ft_in1k,beitv2,55.026,64.622,9.595999999999997,1.4840000000000018,7.304999999999993,0.633121368038284,3.290451471893921,85.596,97.514,86.53,224
vpt1_v18,VPT1 v18,beitv2_base_patch16_224.in1k_ft_in22k_in1k,beitv2,56.953,61.172,4.218999999999994,1.953000000000003,1.8359999999999985,0.8861749262984159,0.7621637327737095,86.494,98.056,86.53,224
vpt1_v18,VPT1 v18,beitv2_large_patch16_224.in1k_ft_in1k,beitv2,58.906,66.693,7.786999999999999,1.054000000000002,19.649,0.4717077720604382,8.077520700478996,87.414,98.216,304.43,224
vpt1_v18,VPT1 v18,beitv2_large_patch16_224.in1k_ft_in22k_in1k,beitv2,59.961,70.664,10.703000000000003,1.9529999999999959,7.61699999999999,0.8438850632639474,3.163266490336985,88.406,98.602,304.43,224
vpt1_v18,VPT1 v18,caformer_m36.sail_in1k,caformer,51.94,61.393,9.453000000000003,2.1090000000000018,4.023000000000003,0.9162084915563713,1.643642905256493,85.242,97.226,56.2,224
vpt1_v18,VPT1 v18,caformer_m36.sail_in22k_ft_in1k,caformer,58.776,60.326,1.5499999999999972,2.9299999999999997,3.085000000000001,1.2543502966343447,1.337727010849207,86.606,98.038,56.2,224
vpt1_v18,VPT1 v18,caformer_s18.sail_in1k,caformer,54.375,55.651,1.2760000000000034,1.5619999999999976,0.9770000000000039,0.674922876252456,0.40401567626351803,83.664,96.526,26.34,224
vpt1_v18,VPT1 v18,caformer_s18.sail_in22k_ft_in1k,caformer,57.253,56.472,-0.7809999999999988,1.25,2.0700000000000003,0.5116333322474864,0.8475381341797484,84.092,97.182,26.34,224
vpt1_v18,VPT1 v18,caformer_s36.sail_in1k,caformer,53.568,58.88,5.312000000000005,2.5,3.0859999999999985,1.1197250654612605,1.271935358245675,84.528,97.01,39.3,224
vpt1_v18,VPT1 v18,caformer_s36.sail_in22k_ft_in1k,caformer,59.258,60.547,1.2889999999999944,1.5229999999999961,2.7349999999999994,0.6511796133854981,1.271080118114773,85.78,97.832,39.3,224
vpt1_v18,VPT1 v18,cait_m36_384.fb_dist_in1k,cait,56.094,66.536,10.442,1.0930000000000035,4.218999999999994,0.4978797266632005,1.9193391802620183,86.06,97.732,271.22,384
vpt1_v18,VPT1 v18,cait_s24_224.fb_dist_in1k,cait,56.289,60.169,3.8799999999999955,2.070999999999998,1.25,0.8566520102507585,0.5106414267043624,83.484,96.586,46.92,224
vpt1_v18,VPT1 v18,cait_s36_384.fb_dist_in1k,cait,54.636,64.063,9.427,4.4140000000000015,4.922000000000004,1.8988562054270695,2.173405520273554,85.458,97.48,68.37,384
vpt1_v18,VPT1 v18,cait_xxs24_224.fb_dist_in1k,cait,54.961,57.747,2.7860000000000014,2.6169999999999973,2.070999999999998,1.0856853442257863,0.8866545111948736,78.4,94.326,11.96,224
vpt1_v18,VPT1 v18,cait_xxs36_224.fb_dist_in1k,cait,53.997,57.917,3.9200000000000017,1.4450000000000003,3.5549999999999997,0.6103869446688898,1.514399404237718,79.75,94.866,17.3,224
vpt1_v18,VPT1 v18,coat_lite_medium.in1k,coat,55.078,57.747,2.668999999999997,2.382000000000005,1.6409999999999982,1.0188738881726251,0.7393530204772878,83.602,96.714,44.57,224
vpt1_v18,VPT1 v18,coat_lite_mini.in1k,coat,55.846,55.833,-0.012999999999998124,1.6400000000000006,1.9919999999999973,0.6995395310885267,0.8157909590629743,79.104,94.606,11.01,224
vpt1_v18,VPT1 v18,coat_lite_small.in1k,coat,52.461,55.156,2.6950000000000003,1.5629999999999953,1.0549999999999997,0.6752314829416306,0.45237914285352343,82.304,95.854,19.84,224
vpt1_v18,VPT1 v18,coat_lite_tiny.in1k,coat,55.13,54.492,-0.6380000000000052,0.7809999999999988,4.765999999999998,0.3209821732675431,1.946492914620206,77.548,93.924,5.72,224
