task_key,task,model,family,lp_avg,ft_avg,delta_ft_minus_lp,lp_run_range,ft_run_range,lp_run_std,ft_run_std,imagenet_top1,imagenet_top5,param_count_m,img_size
vpt1_v18_depth,VPT1 v18 Depth,beit3_base_patch16_224.in22k_ft_in1k,beit3,79.492,92.8,13.307999999999993,0.42900000000000205,0.9369999999999976,0.19369563753476807,0.43280660294819245,85.39,97.64,86.66,224
vpt1_v18_depth,VPT1 v18 Depth,beit3_large_patch16_224.in22k_ft_in1k,beit3,80.026,92.578,12.552000000000007,0.5069999999999908,0.7420000000000044,0.20718590685661623,0.3041516434646101,87.628,98.334,304.57,224
vpt1_v18_depth,VPT1 v18 Depth,beit3_large_patch16_224.indomain_in22k_ft_in1k,beit3,80.833,93.229,12.396,0.703000000000003,0.8979999999999961,0.2875718267764703,0.3986162175437533,87.534,98.364,304.57,224
vpt1_v18_depth,VPT1 v18 Depth,beit_base_patch16_224.in22k_ft_in22k_in1k,beit,80.26,91.758,11.49799999999999,1.25,0.35200000000000387,0.531213286313091,0.14637015482065532,85.238,97.654,86.53,224
vpt1_v18_depth,VPT1 v18 Depth,beit_base_patch16_384.in22k_ft_in22k_in1k,beit,81.107,92.774,11.667000000000002,0.4680000000000035,0.8979999999999961,0.21202358359390253,0.3917629668845947,86.814,98.136,86.74,384
vpt1_v18_depth,VPT1 v18 Depth,beit_large_patch16_224.in22k_ft_in22k_in1k,beit,81.042,92.096,11.054000000000002,0.2740000000000009,0.39100000000000534,0.11225665038453503,0.16375252330541157,87.486,98.318,304.43,224
vpt1_v18_depth,VPT1 v18 Depth,beit_large_patch16_384.in22k_ft_in22k_in1k,beit,80.794,93.008,12.213999999999999,0.39100000000000534,1.4059999999999917,0.16065352643361464,0.5766408472061814,88.38,98.604,305.0,384
vpt1_v18_depth,VPT1 v18 Depth,beit_large_patch16_512.in22k_ft_in22k_in1k,beit,81.472,93.255,11.783000000000001,0.5080000000000098,0.11699999999999022,0.23947349656184871,0.04864154602805675,88.576,98.656,305.67,512
vpt1_v18_depth,VPT1 v18 Depth,beitv2_base_patch16_224.in1k_ft_in1k,beitv2,77.8,92.161,14.361000000000004,0.5079999999999956,1.0149999999999864,0.2172131569577572,0.4160210998922424,85.596,97.514,86.53,224
vpt1_v18_depth,VPT1 v18 Depth,beitv2_base_patch16_224.in1k_ft_in22k_in1k,beitv2,81.133,91.732,10.599000000000004,0.4680000000000035,0.5079999999999956,0.19886176103011965,0.23083086641280837,86.494,98.056,86.53,224
vpt1_v18_depth,VPT1 v18 Depth,beitv2_large_patch16_224.in1k_ft_in1k,beitv2,78.724,92.721,13.997,0.625,0.8200000000000074,0.28587915084680526,0.3695414576050852,87.414,98.216,304.43,224
vpt1_v18_depth,VPT1 v18 Depth,beitv2_large_patch16_224.in1k_ft_in22k_in1k,beitv2,82.122,92.305,10.183000000000007,0.3130000000000024,0.7810000000000059,0.12906415286808212,0.33746143812623014,88.406,98.602,304.43,224
vpt1_v18_depth,VPT1 v18 Depth,caformer_m36.sail_in1k,caformer,75.508,92.877,17.369,0.5080000000000098,0.7809999999999917,0.20918466058060772,0.36816693073779183,85.242,97.226,56.2,224
