task_key,task,model,family,lp_avg,ft_avg,delta_ft_minus_lp,lp_run_range,ft_run_range,lp_run_std,ft_run_std,imagenet_top1,imagenet_top5,param_count_m,img_size
vpt2_v4,VPT2 v4,beit3_base_patch16_224.in22k_ft_in1k,beit3,50.287,99.14,48.853,1.25,0.3130000000000024,0.5312132863130918,0.1392703206796856,85.39,97.64,86.66,224
vpt2_v4,VPT2 v4,beit3_large_patch16_224.in22k_ft_in1k,beit3,51.927,88.346,36.419000000000004,1.4839999999999947,30.546999999999997,0.6102873640070421,14.272811830734529,87.628,98.334,304.57,224
vpt2_v4,VPT2 v4,beit3_large_patch16_224.indomain_in22k_ft_in1k,beit3,50.82,98.867,48.047000000000004,1.4450000000000003,0.4680000000000035,0.620846912603171,0.19886176103011965,87.534,98.364,304.57,224
vpt2_v4,VPT2 v4,beit_base_patch16_224.in22k_ft_in22k_in1k,beit,51.914,98.698,46.78399999999999,1.9529999999999959,0.4690000000000083,0.8635288066995784,0.21249366003614575,85.238,97.654,86.53,224
vpt2_v4,VPT2 v4,beit_base_patch16_384.in22k_ft_in22k_in1k,beit,51.706,98.893,47.187,1.1720000000000041,0.39000000000000057,0.48408539191620775,0.18384776310850262,86.814,98.136,86.74,384
vpt2_v4,VPT2 v4,beit_large_patch16_224.in22k_ft_in22k_in1k,beit,52.943,98.984,46.041,1.600999999999999,0.23499999999999943,0.7370220862060758,0.11078006238589218,87.486,98.318,304.43,224
vpt2_v4,VPT2 v4,beit_large_patch16_384.in22k_ft_in22k_in1k,beit,52.578,98.893,46.315,1.6799999999999997,0.35200000000000387,0.6908571165990514,0.15094664252274476,88.38,98.604,305.0,384
vpt2_v4,VPT2 v4,beit_large_patch16_512.in22k_ft_in22k_in1k,beit,52.331,99.232,46.900999999999996,1.9140000000000015,0.3509999999999991,0.8932177785960156,0.15707959765672871,88.576,98.656,305.67,512
vpt2_v4,VPT2 v4,beitv2_base_patch16_224.in1k_ft_in1k,beitv2,51.107,98.828,47.721000000000004,1.600999999999999,0.19499999999999318,0.7132135413433728,0.0842496290792988,85.596,97.514,86.53,224
vpt2_v4,VPT2 v4,beitv2_base_patch16_224.in1k_ft_in22k_in1k,beitv2,50.573,98.841,48.267999999999994,0.8599999999999994,0.1559999999999917,0.3629279083601405,0.07353910524339703,86.494,98.056,86.53,224
vpt2_v4,VPT2 v4,beitv2_large_patch16_224.in1k_ft_in1k,beitv2,52.109,99.089,46.98,2.422000000000004,0.4299999999999926,1.0831442911983418,0.17579975982792048,87.414,98.216,304.43,224
vpt2_v4,VPT2 v4,beitv2_large_patch16_224.in1k_ft_in22k_in1k,beitv2,51.745,98.958,47.213,2.6950000000000003,0.4689999999999941,1.2613432874871489,0.19501168056184306,88.406,98.602,304.43,224
vpt2_v4,VPT2 v4,caformer_m36.sail_in1k,caformer,51.875,97.2,45.325,0.7430000000000021,2.6170000000000044,0.3144084392421216,1.1330702635857246,85.242,97.226,56.2,224
vpt2_v4,VPT2 v4,caformer_m36.sail_in22k_ft_in1k,caformer,50.69,97.578,46.888000000000005,2.227000000000004,1.6020000000000039,0.9114431779692409,0.6819747470072165,86.606,98.038,56.2,224
vpt2_v4,VPT2 v4,caformer_s18.sail_in1k,caformer,51.276,95.56,44.284,2.7340000000000018,3.0080000000000098,1.1199297597022182,1.2288795257831007,83.664,96.526,26.34,224
vpt2_v4,VPT2 v4,caformer_s18.sail_in22k_ft_in1k,caformer,50.964,98.724,47.760000000000005,1.0930000000000035,0.3120000000000118,0.44658432076770993,0.13257450735341744,84.092,97.182,26.34,224
vpt2_v4,VPT2 v4,caformer_s36.sail_in1k,caformer,50.638,97.878,47.24,1.5619999999999976,1.0150000000000006,0.6387430364917221,0.41602109989224845,84.528,97.01,39.3,224
vpt2_v4,VPT2 v4,caformer_s36.sail_in22k_ft_in1k,caformer,51.523,98.438,46.915,2.421999999999997,0.5859999999999985,1.0428350247708815,0.24084480941515443,85.78,97.832,39.3,224
