model,imagenet_top1,lp_avg,ft_avg,delta_ft_minus_lp,img_size,param_count
beit3_base_patch16_224.in22k_ft_in1k,85.39,56.641,61.601,4.960000000000001,224,86.66
beit3_large_patch16_224.in22k_ft_in1k,87.628,57.161,61.276,4.115000000000002,224,304.57
beit3_large_patch16_224.indomain_in22k_ft_in1k,87.534,55.599,62.266,6.667000000000002,224,304.57
beit_base_patch16_224.in22k_ft_in22k_in1k,85.238,57.943,59.987,2.044000000000004,224,86.53
beit_base_patch16_384.in22k_ft_in22k_in1k,86.814,57.682,63.008,5.3260000000000005,384,86.74
beit_large_patch16_224.in22k_ft_in22k_in1k,87.486,57.526,61.641,4.114999999999995,224,304.43
beit_large_patch16_384.in22k_ft_in22k_in1k,88.38,57.982,65.899,7.917000000000002,384,305.00
beit_large_patch16_512.in22k_ft_in22k_in1k,88.576,59.323,59.388,0.06499999999999773,512,305.67
beitv2_base_patch16_224.in1k_ft_in1k,85.596,55.026,64.622,9.595999999999997,224,86.53
beitv2_base_patch16_224.in1k_ft_in22k_in1k,86.494,56.953,61.172,4.218999999999994,224,86.53
beitv2_large_patch16_224.in1k_ft_in1k,87.414,58.906,66.693,7.786999999999999,224,304.43
beitv2_large_patch16_224.in1k_ft_in22k_in1k,88.406,59.961,70.664,10.703000000000003,224,304.43
caformer_m36.sail_in1k,85.242,51.94,61.393,9.453000000000003,224,56.20
caformer_m36.sail_in22k_ft_in1k,86.606,58.776,60.326,1.5499999999999972,224,56.20
caformer_s18.sail_in1k,83.664,54.375,55.651,1.2760000000000034,224,26.34
caformer_s18.sail_in22k_ft_in1k,84.092,57.253,56.472,-0.7809999999999988,224,26.34
caformer_s36.sail_in1k,84.528,53.568,58.88,5.312000000000005,224,39.30
caformer_s36.sail_in22k_ft_in1k,85.78,59.258,60.547,1.2889999999999944,224,39.30
cait_m36_384.fb_dist_in1k,86.06,56.094,66.536,10.442,384,271.22
cait_s24_224.fb_dist_in1k,83.484,56.289,60.169,3.8799999999999955,224,46.92
cait_s36_384.fb_dist_in1k,85.458,54.636,64.063,9.427,384,68.37
cait_xxs24_224.fb_dist_in1k,78.4,54.961,57.747,2.7860000000000014,224,11.96
cait_xxs36_224.fb_dist_in1k,79.75,53.997,57.917,3.9200000000000017,224,17.30
coat_lite_medium.in1k,83.602,55.078,57.747,2.668999999999997,224,44.57
coat_lite_mini.in1k,79.104,55.846,55.833,-0.012999999999998124,224,11.01
coat_lite_small.in1k,82.304,52.461,55.156,2.6950000000000003,224,19.84
coat_lite_tiny.in1k,77.548,55.13,54.492,-0.6380000000000052,224,5.72
coat_mini.in1k,81.32,53.386,56.888,3.5019999999999953,224,10.34
coat_small.in1k,82.378,54.896,57.695,2.7989999999999995,224,21.69
coat_tiny.in1k,78.442,53.633,56.159,2.5259999999999962,224,5.50
coatnet_0_rw_224.sw_in1k,82.396,54.57,56.823,2.253,224,27.44
coatnet_1_rw_224.sw_in1k,83.62,57.005,56.302,-0.703000000000003,224,41.72
coatnet_bn_0_rw_224.sw_in1k,82.394,54.362,55.99,1.6280000000000001,224,27.44
