model,family,input_size,lp_avg,ft_avg,delta,lp_run_std,ft_run_std,lp_run_range,ft_run_range
beit3_base_patch16_224.in22k_ft_in1k,beit3,224,56.641,61.601,4.960000000000001,0.4288638737667491,0.8680631057449434,1.0150000000000006,2.1090000000000018
beit3_large_patch16_224.in22k_ft_in1k,beit3,224,57.161,61.276,4.115000000000002,0.20760432451072586,1.6847173848057306,0.5079999999999956,4.062999999999995
beit3_large_patch16_224.indomain_in22k_ft_in1k,beit3,224,55.599,62.266,6.667000000000002,0.351500592697463,3.0206981900804935,0.7820000000000036,7.187000000000005
beit_base_patch16_224.in22k_ft_in22k_in1k,beit,224,57.943,59.987,2.044000000000004,0.9115051045142618,1.0942370249021305,2.070999999999998,2.655999999999999
beit_base_patch16_384.in22k_ft_in22k_in1k,beit,384,57.682,63.008,5.3260000000000005,0.2394011046108363,1.775823251965752,0.5859999999999985,4.296999999999997
beit_large_patch16_224.in22k_ft_in22k_in1k,beit,224,57.526,61.641,4.114999999999995,0.9339992862238522,1.4854979711269272,2.2659999999999982,3.6329999999999956
beit_large_patch16_384.in22k_ft_in22k_in1k,beit,384,57.982,65.899,7.917000000000002,0.21707346426702714,2.0679678162120596,0.5079999999999956,4.999999999999993
beit_large_patch16_512.in22k_ft_in22k_in1k,beit,512,59.323,59.388,0.06499999999999773,0.7002886706367746,3.41538118907197,1.5229999999999961,8.36
beitv2_base_patch16_224.in1k_ft_in1k,beitv2,224,55.026,64.622,9.595999999999997,0.633121368038284,3.290451471893921,1.4840000000000018,7.304999999999993
beitv2_base_patch16_224.in1k_ft_in22k_in1k,beitv2,224,56.953,61.172,4.218999999999994,0.8861749262984159,0.7621637327737095,1.953000000000003,1.8359999999999985
beitv2_large_patch16_224.in1k_ft_in1k,beitv2,224,58.906,66.693,7.786999999999999,0.4717077720604382,8.077520700478996,1.054000000000002,19.649
beitv2_large_patch16_224.in1k_ft_in22k_in1k,beitv2,224,59.961,70.664,10.703000000000003,0.8438850632639474,3.163266490336985,1.9529999999999959,7.61699999999999
caformer_m36.sail_in1k,caformer,unknown,51.94,61.393,9.453000000000003,0.9162084915563713,1.643642905256493,2.1090000000000018,4.023000000000003
caformer_m36.sail_in22k_ft_in1k,caformer,unknown,58.776,60.326,1.5499999999999972,1.2543502966343447,1.337727010849207,2.9299999999999997,3.085000000000001
caformer_s18.sail_in1k,caformer,unknown,54.375,55.651,1.2760000000000034,0.674922876252456,0.40401567626351803,1.5619999999999976,0.9770000000000039
caformer_s18.sail_in22k_ft_in1k,caformer,unknown,57.253,56.472,-0.7809999999999988,0.5116333322474864,0.8475381341797484,1.25,2.0700000000000003
caformer_s36.sail_in1k,caformer,unknown,53.568,58.88,5.312000000000005,1.1197250654612605,1.271935358245675,2.5,3.0859999999999985
caformer_s36.sail_in22k_ft_in1k,caformer,unknown,59.258,60.547,1.2889999999999944,0.6511796133854981,1.271080118114773,1.5229999999999961,2.7349999999999994
cait_m36_384.fb_dist_in1k,cait,384,56.094,66.536,10.442,0.4978797266632005,1.9193391802620183,1.0930000000000035,4.218999999999994
