Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
beit3_base_patch16_224.in22k_ft_in1k,93.125,93.086,92.188,92.8
beit3_large_patch16_224.in22k_ft_in1k,92.93,92.617,92.188,92.578
beit3_large_patch16_224.indomain_in22k_ft_in1k,92.891,93.008,93.789,93.229
beit_base_patch16_224.in22k_ft_in22k_in1k,91.797,91.914,91.562,91.758
beit_base_patch16_384.in22k_ft_in22k_in1k,92.227,93.125,92.969,92.774
beit_large_patch16_224.in22k_ft_in22k_in1k,92.148,91.875,92.266,92.096
beit_large_patch16_384.in22k_ft_in22k_in1k,92.266,93.672,93.086,93.008
beit_large_patch16_512.in22k_ft_in22k_in1k,93.203,93.242,93.32,93.255
beitv2_base_patch16_224.in1k_ft_in1k,91.68,92.109,92.695,92.161
beitv2_base_patch16_224.in1k_ft_in22k_in1k,91.875,91.406,91.914,91.732
beitv2_large_patch16_224.in1k_ft_in1k,93.242,92.5,92.422,92.721
beitv2_large_patch16_224.in1k_ft_in22k_in1k,92.617,92.461,91.836,92.305
caformer_m36.sail_in1k,93.398,92.617,92.617,92.877
caformer_m36.sail_in22k_ft_in1k,92.266,92.617,92.656,92.513
caformer_s18.sail_in1k,92.031,92.344,90.781,91.719
caformer_s18.sail_in22k_ft_in1k,91.914,91.719,92.305,91.979
caformer_s36.sail_in1k,91.719,92.656,92.188,92.188
caformer_s36.sail_in22k_ft_in1k,93.125,92.5,92.617,92.747
cait_m36_384.fb_dist_in1k,93.633,93.867,92.852,93.451
cait_s24_224.fb_dist_in1k,91.484,92.148,90.977,91.536
cait_s36_384.fb_dist_in1k,92.734,92.656,92.812,92.734
cait_xxs24_224.fb_dist_in1k,90.352,90.352,91.875,90.86
cait_xxs36_224.fb_dist_in1k,91.562,91.992,91.445,91.666
coat_lite_medium.in1k,91.797,91.992,92.93,92.24
coat_lite_mini.in1k,90.781,90.0,90.859,90.547
coat_lite_small.in1k,91.445,91.328,92.031,91.601
coat_lite_tiny.in1k,90.82,90.391,90.938,90.716
coat_mini.in1k,91.133,92.031,91.758,91.641
coat_small.in1k,92.148,92.656,93.477,92.76
coat_tiny.in1k,90.977,90.898,91.289,91.055
coatnet_0_rw_224.sw_in1k,91.328,91.758,91.758,91.615
coatnet_1_rw_224.sw_in1k,91.211,91.992,91.484,91.562
coatnet_bn_0_rw_224.sw_in1k,91.289,91.562,91.523,91.458
coatnet_nano_rw_224.sw_in1k,91.094,91.406,91.914,91.471
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,91.914,92.5,92.266,92.227
coatnet_rmlp_1_rw_224.sw_in1k,91.094,91.719,91.055,91.289
coatnet_rmlp_2_rw_224.sw_in1k,91.172,90.625,90.703,90.833
coatnet_rmlp_nano_rw_224.sw_in1k,91.641,91.328,90.703,91.224
convformer_s18.sail_in1k_384,91.875,91.602,91.328,91.602
convit_base.fb_in1k,91.797,90.703,91.953,91.484
convit_small.fb_in1k,90.977,91.25,91.328,91.185
convit_tiny.fb_in1k,89.766,90.039,90.742,90.182
convmixer_1536_20.in1k,87.5,87.539,86.641,87.227
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,93.086,92.852,75.977,87.305
convnext_base.dinov3_lvd1689m,91.602,91.914,91.68,91.732
convnext_base.fb_in22k_ft_in1k,90.664,90.391,90.703,90.586
convnext_base.fb_in22k_ft_in1k_384,91.328,91.055,90.625,91.003
convnext_large.dinov3_lvd1689m,92.5,69.688,92.266,84.818
convnext_large.fb_in22k_ft_in1k,91.484,91.406,91.25,91.38
convnext_large.fb_in22k_ft_in1k_384,91.25,91.992,90.508,91.25
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,93.164,92.344,92.656,92.721
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,93.086,93.398,92.07,92.851
convnext_nano.in12k_ft_in1k,91.055,90.078,90.508,90.547
convnext_small.dinov3_lvd1689m,91.25,91.523,91.68,91.484
convnext_small.fb_in1k,89.727,91.055,90.391,90.391
convnext_small.fb_in22k_ft_in1k,90.742,90.352,90.508,90.534
convnext_small.in12k_ft_in1k_384,93.047,92.852,92.227,92.709
convnext_tiny.fb_in22k_ft_in1k,90.938,90.234,90.781,90.651
convnext_xlarge.fb_in22k_ft_in1k_384,91.484,91.719,92.031,91.745
convnext_xxlarge.clip_laion2b_soup_ft_in1k,93.125,92.93,92.93,92.995
convnextv2_atto.fcmae_ft_in1k,91.484,91.641,90.195,91.107
convnextv2_base.fcmae_ft_in22k_in1k,93.047,92.031,91.953,92.344
convnextv2_base.fcmae_ft_in22k_in1k_384,92.617,92.422,92.578,92.539
convnextv2_large.fcmae_ft_in1k,92.305,91.992,92.695,92.331
convnextv2_large.fcmae_ft_in22k_in1k,92.422,92.344,92.148,92.305
convnextv2_large.fcmae_ft_in22k_in1k_384,93.164,92.148,92.617,92.643
convnextv2_nano.fcmae_ft_in22k_in1k,91.289,91.172,91.406,91.289
convnextv2_tiny.fcmae_ft_in22k_in1k,91.992,91.836,91.406,91.745
crossvit_15_240.in1k,91.836,91.172,91.719,91.576
crossvit_18_240.in1k,91.836,92.383,91.992,92.07
crossvit_9_240.in1k,90.43,90.625,90.977,90.677
crossvit_tiny_240.in1k,90.625,91.016,90.469,90.703
davit_base.msft_in1k,91.875,91.992,91.953,91.94
davit_small.msft_in1k,91.562,91.328,91.562,91.484
davit_tiny.msft_in1k,92.031,91.719,91.211,91.654
deit3_base_patch16_224.fb_in1k,91.055,91.406,90.82,91.094
deit3_base_patch16_224.fb_in22k_ft_in1k,91.211,91.953,91.602,91.589
deit3_huge_patch14_224.fb_in1k,92.266,91.25,92.109,91.875
deit3_large_patch16_224.fb_in1k,91.406,92.422,91.836,91.888
deit3_medium_patch16_224.fb_in1k,91.836,91.406,92.148,91.797
deit3_medium_patch16_224.fb_in22k_ft_in1k,92.539,92.266,91.445,92.083
deit3_small_patch16_224.fb_in1k,90.781,91.25,90.586,90.872
deit3_small_patch16_224.fb_in22k_ft_in1k,91.641,90.859,91.406,91.302
deit_base_distilled_patch16_224.fb_in1k,91.758,91.172,91.914,91.615
deit_base_patch16_224.fb_in1k,92.5,92.656,91.836,92.331
deit_base_patch16_384.fb_in1k,93.047,92.891,93.086,93.008
deit_small_distilled_patch16_224.fb_in1k,91.523,90.977,91.172,91.224
deit_small_patch16_224.fb_in1k,91.719,91.406,91.836,91.654
deit_tiny_distilled_patch16_224.fb_in1k,90.898,90.625,90.234,90.586
deit_tiny_patch16_224.fb_in1k,90.234,90.898,90.352,90.495
densenet121.ra_in1k,86.953,87.773,88.516,87.747
densenet121.tv_in1k,88.359,88.008,87.812,88.06
densenet161.tv_in1k,89.141,90.273,89.453,89.622
densenet169.tv_in1k,88.672,88.477,88.477,88.542
densenet201.tv_in1k,88.945,88.281,89.492,88.906
densenetblur121d.ra_in1k,86.602,87.07,86.445,86.706
dla102.in1k,86.875,86.328,87.305,86.836
dla169.in1k,88.789,87.656,88.32,88.255
dla34.in1k,85.078,83.359,85.469,84.635
dla46_c.in1k,78.75,78.633,79.375,78.919
dla46x_c.in1k,81.211,76.25,79.766,79.076
dla60.in1k,87.109,86.133,86.094,86.445
dla60x_c.in1k,81.016,78.438,82.383,80.612
dpn107.mx_in1k,91.055,91.133,91.172,91.12
dpn131.mx_in1k,90.938,90.508,90.43,90.625
dpn68.mx_in1k,90.234,89.336,89.492,89.687
dpn68b.mx_in1k,90.156,90.195,89.922,90.091
dpn92.mx_in1k,90.312,90.898,90.547,90.586
dpn98.mx_in1k,91.406,91.289,90.898,91.198
eca_nfnet_l0.ra2_in1k,89.883,89.023,89.609,89.505
eca_nfnet_l1.ra2_in1k,91.211,91.133,91.133,91.159
ecaresnet50t.a2_in1k,85.547,86.055,85.703,85.768
edgenext_xx_small.in1k,89.141,89.414,90.352,89.636
efficientformer_l1.snap_dist_in1k,88.32,87.852,87.93,88.034
efficientformer_l3.snap_dist_in1k,88.672,88.672,89.922,89.089
efficientformer_l7.snap_dist_in1k,88.711,88.477,89.18,88.789
efficientformerv2_l.snap_dist_in1k,89.531,89.531,88.789,89.284
efficientformerv2_s0.snap_dist_in1k,84.844,85.117,85.586,85.182
efficientformerv2_s1.snap_dist_in1k,87.539,87.734,86.641,87.305
efficientformerv2_s2.snap_dist_in1k,88.086,87.578,88.008,87.891
efficientnet_b0.ra_in1k,75.938,76.133,75.117,75.729
efficientnet_b1.ft_in1k,73.047,73.828,74.062,73.646
efficientnet_b1.ra4_e3600_r240_in1k,84.023,81.523,82.461,82.669
efficientnet_b2.ra_in1k,74.414,75.273,73.867,74.518
efficientnet_b3.ra2_in1k,77.578,76.758,78.32,77.552
efficientnet_b4.ra2_in1k,78.633,78.359,78.672,78.555
efficientnet_es.ra_in1k,76.289,75.156,74.297,75.247
efficientnet_es_pruned.in1k,80.391,79.062,79.883,79.779
efficientnet_lite0.ra_in1k,73.164,72.773,72.266,72.734
efficientvit_b2.r256_in1k,90.469,89.805,89.883,90.052
efficientvit_b2.r288_in1k,90.039,91.211,90.859,90.703
efficientvit_b3.r256_in1k,90.273,89.922,91.133,90.443
efficientvit_m1.r224_in1k,83.281,85.195,83.555,84.01
eva02_base_patch14_448.mim_in22k_ft_in1k,94.336,94.492,94.219,94.349
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,94.57,93.672,94.805,94.349
eva02_large_patch14_448.mim_in22k_ft_in1k,94.258,94.219,95.039,94.505
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,94.961,95.078,94.727,94.922
eva02_large_patch14_448.mim_m38m_ft_in1k,95.234,95.039,95.273,95.182
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,95.156,94.531,94.375,94.687
eva02_small_patch14_336.mim_in22k_ft_in1k,93.086,94.18,93.359,93.542
eva_large_patch14_196.in22k_ft_in1k,93.555,93.359,92.852,93.255
eva_large_patch14_196.in22k_ft_in22k_in1k,92.93,92.148,93.281,92.786
eva_large_patch14_336.in22k_ft_in1k,94.023,93.633,93.047,93.568
eva_large_patch14_336.in22k_ft_in22k_in1k,94.805,94.805,94.414,94.675
fasternet_t2.in1k,88.906,89.023,88.711,88.88
fastvit_sa36.apple_dist_in1k,89.609,90.078,89.844,89.844
fastvit_t8.apple_dist_in1k,89.297,89.453,89.922,89.557
