Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
beit3_base_patch16_224.in22k_ft_in1k,79.648,79.609,79.219,79.492
beit3_large_patch16_224.in22k_ft_in1k,79.766,80.039,80.273,80.026
beit3_large_patch16_224.indomain_in22k_ft_in1k,80.859,81.172,80.469,80.833
beit_base_patch16_224.in22k_ft_in22k_in1k,80.781,80.469,79.531,80.26
beit_base_patch16_384.in22k_ft_in22k_in1k,80.938,81.406,80.977,81.107
beit_large_patch16_224.in22k_ft_in22k_in1k,81.055,81.172,80.898,81.042
beit_large_patch16_384.in22k_ft_in22k_in1k,80.977,80.586,80.82,80.794
beit_large_patch16_512.in22k_ft_in22k_in1k,81.133,81.641,81.641,81.472
beitv2_base_patch16_224.in1k_ft_in1k,78.008,77.5,77.891,77.8
beitv2_base_patch16_224.in1k_ft_in22k_in1k,81.406,80.938,81.055,81.133
beitv2_large_patch16_224.in1k_ft_in1k,78.906,78.32,78.945,78.724
beitv2_large_patch16_224.in1k_ft_in22k_in1k,82.266,81.953,82.148,82.122
caformer_m36.sail_in1k,75.781,75.273,75.469,75.508
caformer_m36.sail_in22k_ft_in1k,80.352,80.117,80.859,80.443
caformer_s18.sail_in1k,78.281,78.203,79.102,78.529
caformer_s18.sail_in22k_ft_in1k,77.383,78.164,76.523,77.357
caformer_s36.sail_in1k,76.406,76.68,76.641,76.576
caformer_s36.sail_in22k_ft_in1k,79.922,80.117,80.664,80.234
cait_m36_384.fb_dist_in1k,84.062,84.492,83.672,84.075
cait_m48_448.fb_dist_in1k,83.359,82.07,81.445,82.291
cait_s24_224.fb_dist_in1k,79.688,78.867,79.57,79.375
cait_s36_384.fb_dist_in1k,81.094,80.0,80.586,80.56
cait_xxs24_224.fb_dist_in1k,75.43,75.312,75.117,75.286
cait_xxs36_224.fb_dist_in1k,77.07,75.234,76.875,76.393
coat_lite_medium.in1k,78.711,79.609,79.648,79.323
coat_lite_mini.in1k,76.719,76.367,76.797,76.628
coat_lite_small.in1k,79.688,79.414,79.102,79.401
coat_lite_tiny.in1k,76.289,75.273,75.117,75.56
coat_mini.in1k,74.57,75.352,75.859,75.26
coat_small.in1k,77.227,77.461,76.641,77.11
coat_tiny.in1k,73.203,72.734,72.734,72.89
coatnet_0_rw_224.sw_in1k,79.57,79.883,79.062,79.505
coatnet_1_rw_224.sw_in1k,79.57,78.711,78.672,78.984
coatnet_bn_0_rw_224.sw_in1k,78.906,79.57,79.023,79.166
coatnet_nano_rw_224.sw_in1k,77.656,78.477,78.203,78.112
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,77.539,77.93,77.93,77.8
coatnet_rmlp_1_rw_224.sw_in1k,78.281,77.461,76.992,77.578
coatnet_rmlp_2_rw_224.sw_in1k,75.547,75.859,75.234,75.547
coatnet_rmlp_nano_rw_224.sw_in1k,74.922,75.156,74.531,74.87
convformer_s18.sail_in1k_384,77.734,77.734,77.578,77.682
convit_base.fb_in1k,80.742,81.367,80.938,81.016
convit_small.fb_in1k,78.477,77.734,78.516,78.242
convit_tiny.fb_in1k,73.867,75.117,74.18,74.388
convmixer_1536_20.in1k,80.977,81.211,81.055,81.081
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,81.445,81.836,81.523,81.601
convnext_base.dinov3_lvd1689m,73.477,73.594,73.789,73.62
convnext_base.fb_in22k_ft_in1k,80.391,80.703,80.703,80.599
convnext_base.fb_in22k_ft_in1k_384,82.344,82.305,82.148,82.266
convnext_large.dinov3_lvd1689m,74.102,74.102,74.648,74.284
convnext_large.fb_in22k_ft_in1k,81.836,82.031,81.914,81.927
convnext_large.fb_in22k_ft_in1k_384,82.031,81.719,81.758,81.836
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,77.969,77.969,77.969,77.969
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,77.891,78.398,78.047,78.112
convnext_nano.in12k_ft_in1k,76.172,76.484,77.5,76.719
convnext_small.dinov3_lvd1689m,70.625,71.797,70.703,71.042
convnext_small.fb_in1k,75.703,76.562,76.094,76.12
convnext_small.fb_in22k_ft_in1k,78.281,78.789,78.086,78.385
convnext_small.in12k_ft_in1k_384,76.523,76.68,76.367,76.523
convnext_tiny.fb_in22k_ft_in1k,79.141,79.023,78.125,78.763
convnext_xlarge.fb_in22k_ft_in1k_384,82.461,82.5,83.164,82.708
convnext_xxlarge.clip_laion2b_soup_ft_in1k,83.516,83.633,82.969,83.373
convnextv2_atto.fcmae_ft_in1k,73.672,72.734,73.203,73.203
convnextv2_base.fcmae_ft_in22k_in1k,80.977,79.727,80.664,80.456
convnextv2_base.fcmae_ft_in22k_in1k_384,80.352,80.586,80.898,80.612
convnextv2_huge.fcmae_ft_in22k_in1k_512,83.906,84.023,84.102,84.01
convnextv2_large.fcmae_ft_in1k,76.289,75.625,76.328,76.081
convnextv2_large.fcmae_ft_in22k_in1k,81.797,81.719,81.211,81.576
convnextv2_large.fcmae_ft_in22k_in1k_384,83.711,83.828,83.711,83.75
convnextv2_nano.fcmae_ft_in22k_in1k,79.531,78.789,79.141,79.154
convnextv2_tiny.fcmae_ft_in22k_in1k,79.844,78.945,79.844,79.544
crossvit_15_240.in1k,78.438,79.492,78.359,78.763
crossvit_18_240.in1k,80.195,79.648,80.039,79.961
crossvit_9_240.in1k,77.539,76.797,77.461,77.266
crossvit_tiny_240.in1k,76.914,76.172,76.172,76.419
davit_base.msft_in1k,79.648,79.219,79.492,79.453
davit_small.msft_in1k,79.141,79.102,79.102,79.115
davit_tiny.msft_in1k,80.664,79.492,80.625,80.26
deit3_base_patch16_224.fb_in1k,80.977,80.898,80.859,80.911
deit3_base_patch16_224.fb_in22k_ft_in1k,79.688,79.727,79.766,79.727
deit3_huge_patch14_224.fb_in1k,83.086,82.617,83.047,82.917
deit3_large_patch16_224.fb_in1k,81.133,81.641,80.547,81.107
deit3_medium_patch16_224.fb_in1k,79.531,79.062,78.32,78.971
deit3_medium_patch16_224.fb_in22k_ft_in1k,77.383,77.109,78.203,77.565
deit3_small_patch16_224.fb_in1k,77.266,76.484,76.953,76.901
deit3_small_patch16_224.fb_in22k_ft_in1k,76.875,76.25,77.109,76.745
deit_base_distilled_patch16_224.fb_in1k,82.5,82.891,82.578,82.656
deit_base_patch16_224.fb_in1k,80.664,80.664,80.156,80.495
deit_base_patch16_384.fb_in1k,82.461,82.734,82.539,82.578
