Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
beit3_base_patch16_224.in22k_ft_in1k,99.336,99.023,99.062,99.14
beit3_large_patch16_224.in22k_ft_in1k,68.164,98.164,98.711,88.346
beit3_large_patch16_224.indomain_in22k_ft_in1k,98.945,98.594,99.062,98.867
beit_base_patch16_224.in22k_ft_in22k_in1k,98.398,98.828,98.867,98.698
beit_base_patch16_384.in22k_ft_in22k_in1k,99.023,98.633,99.023,98.893
beit_large_patch16_224.in22k_ft_in22k_in1k,99.141,98.906,98.906,98.984
beit_large_patch16_384.in22k_ft_in22k_in1k,98.828,98.75,99.102,98.893
beit_large_patch16_512.in22k_ft_in22k_in1k,99.453,99.141,99.102,99.232
beitv2_base_patch16_224.in1k_ft_in1k,98.945,98.75,98.789,98.828
beitv2_base_patch16_224.in1k_ft_in22k_in1k,98.945,98.789,98.789,98.841
beitv2_large_patch16_224.in1k_ft_in1k,98.867,99.297,99.102,99.089
beitv2_large_patch16_224.in1k_ft_in22k_in1k,98.906,99.219,98.75,98.958
caformer_m36.sail_in1k,97.734,98.242,95.625,97.2
caformer_m36.sail_in22k_ft_in1k,96.914,98.516,97.305,97.578
caformer_s18.sail_in1k,97.031,94.023,95.625,95.56
caformer_s18.sail_in22k_ft_in1k,98.594,98.672,98.906,98.724
caformer_s36.sail_in1k,97.93,97.344,98.359,97.878
caformer_s36.sail_in22k_ft_in1k,98.477,98.711,98.125,98.438
cait_m36_384.fb_dist_in1k,97.969,98.75,98.75,98.49
cait_s24_224.fb_dist_in1k,98.438,98.477,98.789,98.568
cait_s36_384.fb_dist_in1k,98.906,98.633,98.984,98.841
cait_xxs24_224.fb_dist_in1k,98.359,98.438,98.359,98.385
cait_xxs36_224.fb_dist_in1k,98.203,98.359,98.203,98.255
coat_lite_medium.in1k,98.477,91.367,97.93,95.925
coat_lite_mini.in1k,91.68,87.5,92.617,90.599
coat_lite_small.in1k,96.523,97.109,97.5,97.044
coat_lite_tiny.in1k,84.297,94.688,75.156,84.714
coat_mini.in1k,54.57,56.758,96.758,69.362
coat_small.in1k,93.633,88.633,93.828,92.031
coat_tiny.in1k,73.438,75.195,77.109,75.247
coatnet_0_rw_224.sw_in1k,53.047,55.391,52.5,53.646
coatnet_1_rw_224.sw_in1k,52.734,52.93,50.508,52.057
coatnet_bn_0_rw_224.sw_in1k,69.258,70.273,59.141,66.224
coatnet_nano_rw_224.sw_in1k,50.977,52.852,51.055,51.628
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,68.438,91.797,53.75,71.328
coatnet_rmlp_1_rw_224.sw_in1k,55.273,51.133,91.953,66.12
coatnet_rmlp_2_rw_224.sw_in1k,69.727,62.266,55.703,62.565
coatnet_rmlp_nano_rw_224.sw_in1k,54.375,57.227,55.781,55.794
convformer_s18.sail_in1k_384,98.477,98.32,98.477,98.425
convit_base.fb_in1k,98.555,96.836,98.164,97.852
convit_small.fb_in1k,95.82,98.32,98.32,97.487
convit_tiny.fb_in1k,97.734,96.836,89.492,94.687
convmixer_1536_20.in1k,72.656,63.086,67.148,67.63
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,99.297,98.867,98.945,99.036
convnext_base.dinov3_lvd1689m,99.414,98.828,99.492,99.245
convnext_base.fb_in22k_ft_in1k,97.578,98.32,97.891,97.93
convnext_base.fb_in22k_ft_in1k_384,98.203,98.164,97.93,98.099
convnext_large.dinov3_lvd1689m,51.484,99.766,98.789,83.346
convnext_large.fb_in22k_ft_in1k,98.008,97.852,97.812,97.891
convnext_large.fb_in22k_ft_in1k_384,98.281,98.438,98.398,98.372
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,99.102,99.023,99.062,99.062
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,99.57,98.984,99.297,99.284
convnext_nano.in12k_ft_in1k,98.633,98.555,98.906,98.698
convnext_small.dinov3_lvd1689m,98.867,99.375,99.688,99.31
convnext_small.fb_in1k,98.281,98.516,98.359,98.385
convnext_small.fb_in22k_ft_in1k,98.281,98.125,98.125,98.177
convnext_small.in12k_ft_in1k_384,98.945,98.945,99.609,99.166
convnext_tiny.fb_in22k_ft_in1k,97.461,97.773,96.562,97.265
convnext_xlarge.fb_in22k_ft_in1k_384,98.008,98.164,98.164,98.112
convnext_xxlarge.clip_laion2b_soup_ft_in1k,98.906,99.375,99.336,99.206
convnextv2_atto.fcmae_ft_in1k,97.188,98.008,98.125,97.774
convnextv2_base.fcmae_ft_in22k_in1k,98.086,98.125,98.164,98.125
convnextv2_base.fcmae_ft_in22k_in1k_384,98.242,98.633,98.398,98.424
convnextv2_large.fcmae_ft_in1k,98.633,98.672,98.867,98.724
convnextv2_large.fcmae_ft_in22k_in1k,97.266,97.734,97.344,97.448
convnextv2_large.fcmae_ft_in22k_in1k_384,97.617,97.812,98.125,97.851
convnextv2_nano.fcmae_ft_in22k_in1k,98.359,98.398,97.461,98.073
convnextv2_tiny.fcmae_ft_in22k_in1k,98.32,97.812,97.383,97.838
crossvit_15_240.in1k,98.164,97.656,92.617,96.146
crossvit_18_240.in1k,97.5,96.484,97.812,97.265
crossvit_9_240.in1k,98.32,97.812,98.789,98.307
crossvit_tiny_240.in1k,98.867,98.359,98.477,98.568
davit_base.msft_in1k,84.102,95.781,85.039,88.307
davit_small.msft_in1k,97.812,97.773,98.086,97.89
davit_tiny.msft_in1k,89.57,89.258,97.578,92.135
deit3_base_patch16_224.fb_in1k,96.953,98.516,97.578,97.682
deit3_base_patch16_224.fb_in22k_ft_in1k,98.398,97.891,98.203,98.164
deit3_huge_patch14_224.fb_in1k,93.203,98.32,92.539,94.687
deit3_large_patch16_224.fb_in1k,98.125,97.695,97.305,97.708
deit3_medium_patch16_224.fb_in1k,97.305,98.477,97.852,97.878
deit3_medium_patch16_224.fb_in22k_ft_in1k,97.266,98.008,98.281,97.852
deit3_small_patch16_224.fb_in1k,98.164,98.086,98.516,98.255
deit3_small_patch16_224.fb_in22k_ft_in1k,97.461,98.594,98.359,98.138
deit_base_distilled_patch16_224.fb_in1k,98.594,98.633,98.711,98.646
deit_base_patch16_224.fb_in1k,98.359,98.633,97.617,98.203
deit_base_patch16_384.fb_in1k,98.789,98.633,94.258,97.227
deit_small_distilled_patch16_224.fb_in1k,98.32,98.594,97.656,98.19
deit_small_patch16_224.fb_in1k,97.773,98.398,98.594,98.255
deit_tiny_distilled_patch16_224.fb_in1k,98.867,98.867,98.945,98.893
deit_tiny_patch16_224.fb_in1k,98.086,98.242,96.641,97.656
densenet121.ra_in1k,97.695,97.773,97.773,97.747
densenet121.tv_in1k,97.539,97.852,97.93,97.774
densenet161.tv_in1k,98.438,98.633,98.32,98.464
densenet169.tv_in1k,97.852,97.812,98.164,97.943
densenet201.tv_in1k,97.812,98.047,98.047,97.969
densenetblur121d.ra_in1k,97.773,97.266,97.383,97.474
dla102.in1k,95.391,96.211,95.938,95.847
dla169.in1k,97.5,97.227,97.695,97.474
dla34.in1k,89.531,90.586,93.945,91.354
dla46_c.in1k,54.258,69.57,53.359,59.062
dla46x_c.in1k,58.984,68.75,52.617,60.117
dla60.in1k,95.391,94.609,87.891,92.63
dla60x_c.in1k,53.203,56.328,54.609,54.713
dpn107.mx_in1k,98.594,98.594,98.398,98.529
dpn131.mx_in1k,98.438,98.242,98.906,98.529
dpn68.mx_in1k,98.516,97.852,98.672,98.347
dpn68b.mx_in1k,98.477,98.32,98.359,98.385
dpn92.mx_in1k,98.438,98.516,98.828,98.594
dpn98.mx_in1k,98.594,98.555,98.359,98.503
eca_nfnet_l0.ra2_in1k,89.883,97.266,97.383,94.844
eca_nfnet_l1.ra2_in1k,97.734,97.383,97.227,97.448
ecaresnet50t.a2_in1k,71.836,79.102,68.555,73.164
edgenext_xx_small.in1k,96.172,90.0,95.625,93.932
efficientformer_l1.snap_dist_in1k,86.797,90.781,95.312,90.963
efficientformer_l3.snap_dist_in1k,86.289,72.539,79.531,79.453
efficientformer_l7.snap_dist_in1k,73.203,83.633,92.891,83.242
efficientformerv2_l.snap_dist_in1k,63.281,62.148,74.648,66.692
efficientformerv2_s0.snap_dist_in1k,55.977,59.062,59.414,58.151
efficientformerv2_s1.snap_dist_in1k,92.07,75.078,89.805,85.651
efficientformerv2_s2.snap_dist_in1k,53.516,57.383,58.281,56.393
efficientnet_b0.ra_in1k,50.859,50.469,50.273,50.534
efficientnet_b1.ft_in1k,49.258,50.781,51.172,50.404
efficientnet_b1.ra4_e3600_r240_in1k,57.227,51.25,49.844,52.774
efficientnet_b2.ra_in1k,50.547,52.773,51.719,51.68
efficientnet_b3.ra2_in1k,53.867,53.32,53.242,53.476
efficientnet_b4.ra2_in1k,55.273,56.211,53.398,54.961
efficientnet_es.ra_in1k,54.492,53.945,52.266,53.568
efficientnet_es_pruned.in1k,58.633,61.875,58.203,59.57
efficientnet_lite0.ra_in1k,52.93,52.852,53.242,53.008
efficientvit_b2.r256_in1k,81.367,89.648,88.438,86.484
efficientvit_b2.r288_in1k,89.102,94.414,94.023,92.513
efficientvit_b3.r256_in1k,95.742,91.289,95.391,94.141
efficientvit_m1.r224_in1k,53.047,52.5,52.93,52.826
eva02_base_patch14_448.mim_in22k_ft_in1k,98.984,98.594,98.789,98.789
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,98.75,98.828,98.516,98.698
eva02_large_patch14_448.mim_in22k_ft_in1k,90.0,53.945,98.828,80.924
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,98.945,99.023,99.297,99.088
eva02_large_patch14_448.mim_m38m_ft_in1k,99.766,98.438,65.0,87.735
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,98.438,98.984,98.086,98.503
eva02_small_patch14_336.mim_in22k_ft_in1k,98.203,98.906,95.898,97.669
eva_large_patch14_196.in22k_ft_in1k,99.258,98.984,99.492,99.245
eva_large_patch14_196.in22k_ft_in22k_in1k,99.141,99.492,99.531,99.388
eva_large_patch14_336.in22k_ft_in1k,99.336,79.102,99.414,92.617
eva_large_patch14_336.in22k_ft_in22k_in1k,99.258,99.297,99.258,99.271
fasternet_t2.in1k,97.891,97.656,97.734,97.76
fastvit_sa36.apple_dist_in1k,94.297,97.891,97.656,96.615
fastvit_t8.apple_dist_in1k,88.438,75.039,79.023,80.833
focalnet_base_lrf.ms_in1k,98.242,98.398,98.281,98.307
focalnet_base_srf.ms_in1k,98.242,98.281,88.633,95.052
focalnet_small_lrf.ms_in1k,98.242,98.008,98.359,98.203
focalnet_small_srf.ms_in1k,95.586,97.422,97.5,96.836
focalnet_tiny_lrf.ms_in1k,98.477,97.578,98.281,98.112
focalnet_tiny_srf.ms_in1k,97.734,98.047,98.242,98.008
ghostnet_100.in1k,79.883,60.43,68.711,69.675
ghostnetv2_100.in1k,61.914,56.602,55.781,58.099
ghostnetv2_130.in1k,60.273,56.875,59.18,58.776
hardcorenas_b.miil_green_in1k,51.797,50.352,51.562,51.237
hardcorenas_f.miil_green_in1k,51.445,51.289,52.227,51.654
hgnet_small.ssld_in1k,98.203,98.047,97.617,97.956
hgnetv2_b0.ssld_stage1_in22k_in1k,73.516,86.602,78.945,79.688
hrnet_w18.ms_aug_in1k,98.672,98.789,98.633,98.698
hrnet_w18.ms_in1k,98.203,98.594,98.477,98.425
hrnet_w18_small.ms_in1k,97.93,97.461,97.656,97.682
hrnet_w18_small_v2.ms_in1k,98.32,97.891,97.656,97.956
hrnet_w30.ms_in1k,98.516,98.359,98.711,98.529
hrnet_w32.ms_in1k,98.086,98.359,98.633,98.359
hrnet_w40.ms_in1k,99.102,98.398,98.633,98.711
hrnet_w44.ms_in1k,98.789,98.828,98.867,98.828
hrnet_w48.ms_in1k,98.711,98.828,98.672,98.737
inception_v3.tf_in1k,95.195,96.445,95.898,95.846
inception_v3.tv_in1k,95.469,96.016,96.484,95.99
lcnet_100.ra2_in1k,51.211,49.531,53.008,51.25
legacy_seresnet18.in1k,97.773,97.969,98.164,97.969
legacy_seresnet34.in1k,97.969,98.008,98.125,98.034
levit_128.fb_dist_in1k,52.109,52.305,51.445,51.953
levit_128s.fb_dist_in1k,50.43,50.977,50.508,50.638
levit_192.fb_dist_in1k,52.422,52.227,50.742,51.797
levit_256.fb_dist_in1k,51.055,50.781,50.547,50.794
levit_384.fb_dist_in1k,50.703,52.266,51.68,51.55
maxvit_base_tf_224.in1k,79.297,70.43,72.617,74.115
maxvit_base_tf_384.in21k_ft_in1k,64.023,71.406,63.867,66.432
maxvit_large_tf_224.in1k,76.289,82.617,72.5,77.135
maxvit_large_tf_384.in1k,84.023,82.617,74.18,80.273
maxvit_large_tf_384.in21k_ft_in1k,69.141,65.43,70.586,68.386
maxvit_large_tf_512.in21k_ft_in1k,65.898,65.703,72.773,68.125
maxvit_rmlp_base_rw_224.sw_in12k_ft_in1k,96.367,88.008,52.734,79.036
maxvit_rmlp_small_rw_224.sw_in1k,54.844,53.672,53.125,53.88
maxvit_rmlp_tiny_rw_256.sw_in1k,80.82,87.148,88.203,85.39
maxvit_small_tf_224.in1k,73.008,63.906,70.312,69.075
maxvit_tiny_rw_224.sw_in1k,50.859,55.156,52.461,52.825
maxvit_tiny_tf_224.in1k,79.219,68.633,83.516,77.123
maxvit_tiny_tf_512.in1k,90.82,83.594,85.312,86.575
maxxvitv2_rmlp_base_rw_384.sw_in12k_ft_in1k,97.656,50.547,98.047,82.083
mixer_b16_224.goog_in21k_ft_in1k,99.375,99.492,99.375,99.414
mixnet_l.ft_in1k,52.266,50.391,50.703,51.12
mixnet_m.ft_in1k,52.109,50.859,51.758,51.575
mixnet_s.ft_in1k,51.172,51.68,51.445,51.432
mixnet_xl.ra_in1k,48.789,47.539,49.492,48.607
mnasnet_100.rmsp_in1k,57.695,52.109,54.102,54.635
mnasnet_small.lamb_in1k,56.445,56.484,56.445,56.458
mobilenetv2_050.lamb_in1k,49.727,48.32,47.617,48.555
mobilenetv2_100.ra_in1k,50.82,50.313,51.406,50.846
mobilenetv2_110d.ra_in1k,56.172,52.891,54.258,54.44
mobilenetv2_120d.ra_in1k,56.445,53.359,55.078,54.961
mobilenetv2_140.ra_in1k,55.586,53.594,53.672,54.284
mobilenetv3_large_100.miil_in21k_ft_in1k,51.523,51.875,51.875,51.758
mobilenetv3_large_100.ra_in1k,51.641,50.859,51.68,51.393
mobilenetv3_rw.rmsp_in1k,51.797,50.313,51.758,51.289
mobilenetv3_small_100.lamb_in1k,54.297,60.078,61.992,58.789
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,95.781,98.086,95.43,96.432
mobilenetv4_conv_small_050.e3000_r224_in1k,49.766,51.562,51.406,50.911
mobileone_s2.apple_in1k,96.562,96.602,96.602,96.589
mobileone_s4.apple_in1k,85.312,89.492,84.57,86.458
mobilevit_xs.cvnets_in1k,71.758,65.0,56.484,64.414
mobilevit_xxs.cvnets_in1k,56.758,57.188,60.742,58.229
mobilevitv2_050.cvnets_in1k,53.281,50.273,52.891,52.148
mobilevitv2_200.cvnets_in1k,85.312,76.914,84.297,82.174
mvitv2_base.fb_in1k,98.008,90.938,98.008,95.651
