Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
beit3_base_patch16_224.in22k_ft_in1k,50.078,49.766,51.016,50.287
beit3_large_patch16_224.in22k_ft_in1k,52.617,52.031,51.133,51.927
beit3_large_patch16_224.indomain_in22k_ft_in1k,51.094,49.961,51.406,50.82
beit_base_patch16_224.in22k_ft_in22k_in1k,52.383,52.656,50.703,51.914
beit_base_patch16_384.in22k_ft_in22k_in1k,51.172,51.602,52.344,51.706
beit_large_patch16_224.in22k_ft_in22k_in1k,53.984,52.461,52.383,52.943
beit_large_patch16_384.in22k_ft_in22k_in1k,51.797,52.461,53.477,52.578
beit_large_patch16_512.in22k_ft_in22k_in1k,51.719,53.594,51.68,52.331
beitv2_base_patch16_224.in1k_ft_in1k,50.703,50.508,52.109,51.107
beitv2_base_patch16_224.in1k_ft_in22k_in1k,50.703,50.078,50.938,50.573
beitv2_large_patch16_224.in1k_ft_in1k,51.211,53.633,51.484,52.109
beitv2_large_patch16_224.in1k_ft_in22k_in1k,52.656,52.617,49.961,51.745
caformer_m36.sail_in1k,51.992,52.188,51.445,51.875
caformer_m36.sail_in22k_ft_in1k,50.781,51.758,49.531,50.69
caformer_s18.sail_in1k,49.844,51.406,52.578,51.276
caformer_s18.sail_in22k_ft_in1k,51.523,50.43,50.938,50.964
caformer_s36.sail_in1k,49.883,50.586,51.445,50.638
caformer_s36.sail_in22k_ft_in1k,50.078,52.5,51.992,51.523
cait_m36_384.fb_dist_in1k,49.258,49.805,52.344,50.469
cait_m48_448.fb_dist_in1k,52.383,51.406,51.953,51.914
cait_s24_224.fb_dist_in1k,50.039,50.781,50.547,50.456
cait_s36_384.fb_dist_in1k,52.305,55.156,50.703,52.721
cait_xxs24_224.fb_dist_in1k,50.391,51.094,48.086,49.857
cait_xxs36_224.fb_dist_in1k,50.039,49.844,52.617,50.833
coat_lite_medium.in1k,51.094,52.188,49.297,50.86
coat_lite_mini.in1k,50.039,53.125,52.539,51.901
coat_lite_small.in1k,50.469,50.391,51.328,50.729
coat_lite_tiny.in1k,50.0,50.195,49.727,49.974
coat_mini.in1k,51.641,51.094,49.531,50.755
coat_small.in1k,52.578,51.953,54.414,52.982
coat_tiny.in1k,48.828,50.156,50.664,49.883
coatnet_0_rw_224.sw_in1k,53.984,52.852,52.578,53.138
coatnet_1_rw_224.sw_in1k,52.031,49.844,51.445,51.107
coatnet_bn_0_rw_224.sw_in1k,51.758,52.93,51.25,51.979
coatnet_nano_rw_224.sw_in1k,50.43,50.195,51.875,50.833
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,51.992,51.758,52.891,52.214
coatnet_rmlp_1_rw_224.sw_in1k,50.078,49.141,53.164,50.794
coatnet_rmlp_2_rw_224.sw_in1k,52.578,50.938,51.641,51.719
coatnet_rmlp_nano_rw_224.sw_in1k,50.703,49.141,50.664,50.169
convformer_s18.sail_in1k_384,53.008,51.641,53.008,52.552
convit_base.fb_in1k,52.695,52.93,50.625,52.083
convit_small.fb_in1k,50.586,52.891,51.523,51.667
convit_tiny.fb_in1k,54.375,51.68,51.992,52.682
convmixer_1536_20.in1k,52.812,52.617,52.188,52.539
convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,51.328,52.344,51.992,51.888
convnext_base.dinov3_lvd1689m,50.703,50.195,49.766,50.221
convnext_base.fb_in22k_ft_in1k,50.547,53.555,51.523,51.875
convnext_base.fb_in22k_ft_in1k_384,50.547,50.43,50.664,50.547
convnext_large.dinov3_lvd1689m,53.086,53.828,53.789,53.568
convnext_large.fb_in22k_ft_in1k,52.812,52.383,51.562,52.252
convnext_large.fb_in22k_ft_in1k_384,52.656,53.164,53.477,53.099
convnext_large_mlp.clip_laion2b_augreg_ft_in1k,52.969,52.461,52.383,52.604
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,53.789,53.242,53.359,53.463
convnext_nano.in12k_ft_in1k,50.391,48.203,50.859,49.818
convnext_small.dinov3_lvd1689m,52.188,50.898,49.961,51.016
convnext_small.fb_in1k,52.734,50.898,50.156,51.263
convnext_small.fb_in22k_ft_in1k,51.602,50.313,51.953,51.289
convnext_small.in12k_ft_in1k_384,53.828,52.656,52.031,52.838
convnext_tiny.fb_in22k_ft_in1k,51.484,46.914,49.648,49.349
convnext_xlarge.fb_in22k_ft_in1k_384,51.367,50.352,51.094,50.938
convnext_xxlarge.clip_laion2b_soup_ft_in1k,55.859,54.961,54.375,55.065
convnextv2_atto.fcmae_ft_in1k,50.273,50.508,50.0,50.26
convnextv2_base.fcmae_ft_in22k_in1k,51.953,52.266,52.578,52.266
convnextv2_base.fcmae_ft_in22k_in1k_384,52.422,50.938,50.859,51.406
convnextv2_huge.fcmae_ft_in22k_in1k_512,52.148,52.344,51.133,51.875
convnextv2_large.fcmae_ft_in1k,52.5,52.266,53.398,52.721
convnextv2_large.fcmae_ft_in22k_in1k,51.68,50.742,52.031,51.484
convnextv2_large.fcmae_ft_in22k_in1k_384,51.016,51.133,50.82,50.99
convnextv2_nano.fcmae_ft_in22k_in1k,48.945,51.68,51.25,50.625
convnextv2_tiny.fcmae_ft_in22k_in1k,51.094,47.227,50.82,49.714
crossvit_15_240.in1k,50.039,52.266,50.117,50.807
crossvit_18_240.in1k,52.148,51.211,52.344,51.901
crossvit_9_240.in1k,53.203,51.602,53.047,52.617
crossvit_tiny_240.in1k,52.812,50.391,52.617,51.94
davit_base.msft_in1k,52.578,50.664,50.469,51.237
davit_small.msft_in1k,50.43,50.195,50.117,50.247
davit_tiny.msft_in1k,54.258,49.727,51.25,51.745
deit3_base_patch16_224.fb_in1k,50.898,52.188,52.031,51.706
deit3_base_patch16_224.fb_in22k_ft_in1k,50.547,51.211,50.664,50.807
deit3_huge_patch14_224.fb_in1k,52.031,49.375,48.75,50.052
deit3_large_patch16_224.fb_in1k,53.242,50.039,52.695,51.992
deit3_medium_patch16_224.fb_in1k,49.766,50.508,50.43,50.235
deit3_medium_patch16_224.fb_in22k_ft_in1k,51.25,51.25,48.516,50.339
deit3_small_patch16_224.fb_in1k,51.484,51.602,49.688,50.925
deit3_small_patch16_224.fb_in22k_ft_in1k,52.852,50.938,50.742,51.511
deit_base_distilled_patch16_224.fb_in1k,52.656,50.117,51.055,51.276
deit_base_patch16_224.fb_in1k,52.188,51.836,50.664,51.563
deit_base_patch16_384.fb_in1k,51.914,50.156,52.344,51.471
